residents,house_size_sqft,location_type,income_range,electricity_kwh,solar_usage,lpg_kg,induction_cooking,primary_transport,private_km_per_day,vehicle_fuel,carpool_shared,diet_type,nonveg_meals_per_week,waste_kg_per_week,recycle_compost,water_liters_per_month,monthly_co2_kg
5,1382.0,Urban,₹50k–₹1L,273.37,No,8.83,No,Public Transport,3.0,None,No,Vegetarian,0,6.24,No,14726.0,412.96
5,934.0,Urban,₹50k–₹1L,398.5,No,16.66,Yes,Car,13.0,Diesel,No,Mixed,2,4.48,No,19236.0,593.83
3,1743.0,Urban,₹50k–₹1L,224.91,No,12.4,Yes,Public Transport,2.0,None,No,Non-Vegetarian,6,10.41,No,10401.0,399.33
5,1769.0,Urban,<₹15k,343.97,No,11.7,No,Car,20.0,Petrol,No,Vegetarian,0,12.95,Yes,8898.0,588.18
2,1504.0,Rural,₹30k–₹50k,167.05,Yes,16.13,No,Two-wheeler,13.0,Petrol,Yes,Non-Vegetarian,8,2.0,Yes,20521.0,283.79
4,482.0,Rural,₹30k–₹50k,353.27,Yes,11.59,No,Two-wheeler,37.0,Petrol,Yes,Vegetarian,0,6.15,Yes,15486.0,513.03
1,862.0,Urban,₹15k–₹30k,128.16,No,14.47,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,7.22,Yes,12783.0,211.63
1,1584.0,Urban,₹15k–₹30k,453.24,No,17.75,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,6.5,Yes,28024.0,488.4
5,713.0,Rural,>₹1L,372.17,No,25.97,Yes,Car,22.0,Diesel,No,Mixed,2,11.63,Yes,10649.0,684.14
4,1796.0,Semi-Urban,>₹1L,392.3,No,12.26,No,Two-wheeler,7.0,Petrol,No,Vegetarian,0,10.23,Yes,14255.0,529.82
1,2190.0,Rural,₹30k–₹50k,235.18,Yes,5.87,No,Public Transport,1.0,None,No,Non-Vegetarian,6,6.89,Yes,9159.0,264.77
3,897.0,Urban,<₹15k,417.09,No,17.54,No,Two-wheeler,10.0,Petrol,No,Vegetarian,0,5.75,No,26784.0,549.72
5,615.0,Rural,>₹1L,301.19,No,21.31,Yes,Car,11.0,Diesel,Yes,Mixed,3,10.68,No,13615.0,543.55
5,883.0,Urban,>₹1L,404.06,No,10.92,No,Two-wheeler,17.0,Petrol,No,Mixed,4,3.96,No,10684.0,605.42
2,1779.0,Semi-Urban,<₹15k,439.8,No,8.63,No,Car,31.0,Petrol,Yes,Mixed,1,6.0,Yes,10461.0,576.03
4,549.0,Semi-Urban,₹15k–₹30k,547.01,Yes,9.82,Yes,Two-wheeler,28.0,Petrol,Yes,Vegetarian,0,8.45,Yes,11920.0,609.88
5,998.0,Rural,₹15k–₹30k,329.87,No,26.37,Yes,Public Transport,1.0,None,No,Vegetarian,0,5.65,Yes,10212.0,486.04
2,1879.0,Rural,>₹1L,400.78,Yes,19.82,No,Car,10.0,Petrol,No,Non-Vegetarian,8,10.32,No,13144.0,513.37
5,2185.0,Semi-Urban,<₹15k,80.0,No,8.35,Yes,Two-wheeler,38.0,Petrol,No,Mixed,3,6.96,Yes,24431.0,445.34
6,571.0,Semi-Urban,₹50k–₹1L,446.22,No,17.07,No,Car,48.0,Petrol,Yes,Mixed,1,8.98,No,13439.0,777.61
5,1631.0,Semi-Urban,>₹1L,343.42,No,25.65,No,Public Transport,4.0,None,No,Mixed,1,10.01,Yes,10043.0,539.71
5,1912.0,Semi-Urban,>₹1L,351.13,No,14.34,No,Two-wheeler,32.0,Petrol,No,Mixed,3,2.8,No,12006.0,634.39
5,898.0,Rural,₹30k–₹50k,428.3,No,16.21,No,Electric Vehicle,50.0,Electric,Yes,Vegetarian,0,5.38,Yes,14598.0,599.5
6,1097.0,Urban,₹30k–₹50k,80.0,No,20.18,Yes,Two-wheeler,8.0,Petrol,No,Mixed,4,8.98,Yes,15211.0,360.32
3,563.0,Semi-Urban,₹30k–₹50k,496.97,No,19.21,Yes,Public Transport,3.0,None,Yes,Non-Vegetarian,7,5.85,Yes,12506.0,603.76
1,1804.0,Rural,₹50k–₹1L,423.25,Yes,16.03,No,Electric Vehicle,26.0,Electric,Yes,Vegetarian,0,9.57,No,17798.0,456.47
4,1238.0,Urban,₹30k–₹50k,241.84,No,11.57,No,Public Transport,4.0,None,No,Vegetarian,0,4.33,Yes,12411.0,356.59
1,435.0,Rural,₹15k–₹30k,402.72,No,10.28,No,Two-wheeler,21.0,Petrol,No,Non-Vegetarian,4,6.56,Yes,17558.0,537.4
5,1258.0,Urban,<₹15k,301.04,No,12.63,Yes,Bicycle/Walking,0.0,None,Yes,Mixed,1,2.0,Yes,17391.0,393.44
4,1999.0,Rural,₹15k–₹30k,475.59,No,17.13,No,Two-wheeler,34.0,Petrol,Yes,Mixed,2,7.35,No,12726.0,706.1
2,1045.0,Semi-Urban,₹15k–₹30k,530.47,No,10.08,No,Car,19.0,Petrol,No,Mixed,2,10.2,No,11829.0,683.1
3,1269.0,Urban,₹30k–₹50k,421.46,Yes,11.49,Yes,Electric Vehicle,51.0,Electric,No,Mixed,4,5.44,No,10747.0,529.56
6,1067.0,Urban,₹30k–₹50k,160.45,Yes,16.36,No,Two-wheeler,7.0,Petrol,Yes,Vegetarian,0,8.03,No,14596.0,349.68
3,1011.0,Rural,₹50k–₹1L,377.99,No,15.77,Yes,Two-wheeler,27.0,Petrol,Yes,Mixed,1,7.52,No,18037.0,566.45
